fincode,rv_sect_name,compname,classification
132509,Automobile and Ancillaries,Suprajit Engineering Ltd.,S
132522,Energy,Petronet LNG Ltd.,M
132523,Healthcare,Biocon Ltd.,M
132524,Energy,PTC India Ltd.,S
132525,Financials,Bank Of Maharashtra,M
132528,Technology,Datamatics Global Services Ltd.,S
132532,Infrastructure,Jaiprakash Associates Ltd.,S
132540,Technology,Tata Consultancy Services Ltd.,L
132548,Construction,Century Plyboards (India) Ltd.,S
132553,Construction,Welspun Enterprises Ltd.,S
132605,Automobile and Ancillaries,JBM Auto Ltd.,S
132610,FMCG,Dwarikesh Sugar Industries Ltd.,S
132612,Healthcare,Indoco Remedies Ltd.,S
132627,Energy,Jaiprakash Power Ventures Ltd.,S
132636,Financials,IIFL Finance Ltd.,M
132638,Retail and Other Services,Shoppers Stop Ltd.,S
132652,Financials,The Karnataka Bank Ltd.,S
132659,Financials,IDFC Ltd.,S
132670,FMCG,Shree Renuka Sugars Ltd.,S
132683,Automobile and Ancillaries,AIA Engineering Ltd.,M
132689,Media and Communications,PVR Inox Ltd.,S
132698,Textile,Nitin Spinners Ltd.,S
132702,Energy,Gujarat State Petronet Ltd.,S
132714,Infrastructure,KEC International Ltd.,S
132720,Financials,Mahindra & Mahindra Financial Services Ltd.,M
132732,Textile,Kewal Kiran Clothing Ltd.,S
132733,Media and Communications,Sun TV Network Ltd.,M
132734,Metals,Godawari Power And Ispat Ltd.,S
132749,Logistics,Allcargo Logistics Ltd.,S
132754,Infrastructure,GMR Airports Infrastructure Ltd.,M
132755,Technology,Tech Mahindra Ltd.,L
132756,Automobile and Ancillaries,CIE Automotive India Ltd.,S
132757,Capital Goods,Voltamp Transformers Ltd.,S
132762,Logistics,Action Construction Equipment Ltd.,S
132768,Automobile and Ancillaries,Fiem Industries Ltd.,S
132777,Technology,Info Edge (India) Ltd.,M
132779,Energy,Torrent Power Ltd.,M
132782,Textile,Sutlej Textiles And Industries Ltd.,S
132783,FMCG,LT Foods Ltd.,S
132784,Construction,Sobha Ltd.,S
132790,Technology,Tanla Platforms Ltd.,S
132796,Automobile and Ancillaries,Lumax Auto Technologies Ltd.,S
132798,Media and Communications,Network 18 Media & Investments Ltd.,S
132800,Media and Communications,TV18 Broadcast Ltd.,S
132804,Metals,Technocraft Industries (India) Ltd.,S
132805,Miscellaneous,Redington Ltd.,S
132809,Technology,Firstsource Solutions Ltd.,S
132814,Financials,Indian Bank,M
132822,Media and Communications,Vodafone Idea Ltd.,M
132830,Consumer Durables,Astral Ltd.,M
132832,Construction,Indiabulls Real Estate Ltd.,S
132834,Chemicals,Camlin Fine Sciences Ltd.,S
132835,Miscellaneous,ICRA Ltd.,S
132843,Healthcare,Fortis Healthcare Ltd.,M
132848,Miscellaneous,Delta Corp Ltd.,S
132856,Consumer Durables,Time Technoplast Ltd.,S
132859,Technology,Hinduja Global Solutions Ltd.,S
132868,Construction,DLF Ltd.,L
132872,Miscellaneous,Sun Pharma Advanced Research Company Ltd.,S
132892,Financials,Motilal Oswal Financial Services Ltd.,S
132898,Energy,Power Grid Corporation Of India Ltd.,L
132899,FMCG,Kaveri Seed Company Ltd.,S
132900,Financials,Paisalo Digital Ltd.,S
132922,Financials,Edelweiss Financial Services Ltd.,S
190003,Financials,Karur Vysya Bank Ltd.,S
190005,Automobile and Ancillaries,Tide Water Oil Company (India) Ltd.,S
190032,Technology,Zen Technologies Ltd.,S
190051,Technology,Saksoft Ltd.,S
190071,Financials,Sundaram Finance Ltd.,M
200009,Construction,Kolte-Patil Developers Ltd.,S
200017,Technology,eClerx Services Ltd.,S
200025,Infrastructure,ISGEC Heavy Engineering Ltd.,S
200039,Energy,Reliance Power Ltd.,S
200043,Infrastructure,J Kumar Infraprojects Ltd.,S
200047,FMCG,Globus Spirits Ltd.,S
200048,Infrastructure,IRB Infrastructure Developers Ltd.,S
200054,Capital Goods,V-Guard Industries Ltd.,S
200079,Chemicals,Kiri Industries Ltd.,S
200082,Travel,Mahindra Holidays & Resorts India Ltd.,S
200083,Infrastructure,Man InfraConstruction Ltd.,S
200091,Energy,Oil India Ltd.,M
200101,Financials,Dhani Services Ltd.,S
200132,Automobile and Ancillaries,Bajaj Auto Ltd.,L
200556,Metals,Maithan Alloys Ltd.,S
207673,FMCG,Adani Wilmar Ltd.,M
207877,Textile,Dollar Industries Ltd.,S
207901,Financials,BSE Ltd.,S
207945,Construction,Star Cement Ltd.,S
207950,Financials,Central Depository Services (India) Ltd.,S
208045,FMCG,Devyani International Ltd.,M
208196,Automobile and Ancillaries,Garden Reach Shipbuilders & Engineers Ltd.,S
208280,Financials,HDFC Asset Management Company Ltd.,M
208365,Financials,ICICI Securities Ltd.,S
208412,Travel,Indian Railway Catering And Tourism Corporation Ltd.,M
208414,Financials,Indian Renewable Energy Development Agency Ltd.,M
208461,Energy,JSW Energy Ltd.,M
208615,Chemicals,Laxmi Organic Industries Ltd.,S
208646,Miscellaneous,MSTC Ltd.,S
208690,Energy,MOIL Ltd.,S
208727,Retail and Other Services,Metro Brands Ltd.,M
208801,Construction,NBCC (India) Ltd.,S
208808,Technology,Protean e-Gov Technologies Ltd.,S
209037,Infrastructure,Rail Vikas Nigam Ltd.,M
209058,Infrastructure,Ramky Infrastructure Ltd.,S
209068,Financials,RBL Bank Ltd.,S
209089,Financials,Repco Home Finance Ltd.,S
209232,FMCG,Bikaji Foods International Ltd.,S
209373,Miscellaneous,Syngene International Ltd.,M
209400,Financials,Tamilnad Mercantile Bank Ltd.,S
209420,Technology,Tata Technologies Ltd.,M
209425,Textile,TCNS Clothing Co. Ltd.,S
209521,Miscellaneous,Updater Services Ltd.,S
209532,Miscellaneous,VA Tech Wabag Ltd.,S
209550,FMCG,Varun Beverages Ltd.,L
209867,Energy,Adani Power Ltd.,L
209967,Media and Communications,Indus Towers Ltd.,M
209979,Financials,Aditya Birla Sun Life AMC Ltd.,S
210036,Technology,Computer Age Management Services Ltd.,S
210072,Consumer Durables,Dixon Technologies (India) Ltd.,M
210174,Financials,General Insurance Corporation of India,M
210217,Healthcare,Healthcare Global Enterprises Ltd.,S
210258,Financials,ICICI Prudential Life Insurance Company Ltd.,L
210481,Chemicals,Epigral Ltd.,S
210591,Retail and Other Services,Aditya Birla Fashion and Retail Ltd.,S
210729,Miscellaneous,SIS Ltd.,S
210859,Consumer Durables,Tejas Networks Ltd.,S
211130,Automobile and Ancillaries,GNA Axles Ltd.,S
211531,Miscellaneous,Just Dial Ltd.,S
211840,Healthcare,Mankind Pharma Ltd.,L
212705,Capital Goods,Bharat Dynamics Ltd.,S
213133,Chemicals,Fineotex Chemical Ltd.,S
213429,Travel,Lemon Tree Hotels Ltd.,S
213488,Textile,Lux Industries Ltd.,S
213597,Automobile and Ancillaries,Minda Corporation Ltd.,S
213672,Technology,Newgen Software Technologies Ltd.,S
214084,Automobile and Ancillaries,Sansera Engineering Ltd.,S
215690,Metals,Gravita India Ltd.,S
215739,Media and Communications,Hathway Cable & Datacom Ltd.,S
216147,Construction,Nuvoco Vistas Corporation Ltd.,S
216369,Energy,NHPC Ltd.,M
216564,Consumer Durables,Prince Pipes and Fittings Ltd.,S
217376,Financials,Life Insurance Corporation of India,L
217582,Metals,Indian Metals & Ferro Alloys Ltd.,S
