SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
531346,EASTRED,EASTERN TREADS LTD.,Eastern Treads Ltd.
531349,PANACEABIO,PANACEA BIOTEC LTD.,Panacea Biotec Ltd.
531352,PEETISEC,PEETI SECURITIES LTD.,Peeti Securities Ltd.
531357,MERCURYEV,Mercury Ev-Tech Ltd,MERCURY EV-TECH LIMITED
531358,CHOICEIN,CHOICE INTERNATIONAL LTD.,Choice International Ltd
531359,SRAMSET,SHRIRAM ASSET MANAGEMENT CO.LTD.,Shriram Asset Management Co.Ltd.
531360,GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,Golechha Global Finance Ltd.
531364,EKANSH,Ekansh Concepts Ltd,Ekansh Concepts Limited
531370,SPAR,Sparc Electrex Ltd,SPARC ELECTREX LIMITED
531373,BYKE,THE BYKE HOSPITALITY LTD.,The Byke Hospitality    Ltd
531380,CSURGSU,CENTENIAL SURGICAL SUTURE LTD.,Centenial Surgical Suture Ltd.
531381,ARIHANT,ARIHANT FOUNDATIONS & HOUSING LTD.-$,Arihant Foundations & Housing Ltd.
531387,HASTIFIN,HASTI FINANCE LTD.,Hasti Finance Ltd.
531390,UPSURGE,UPSURGE INVESTMENT & FINANCE LTD.,Upsurge Investment And Finance Ltd.
531395,PADAMCO,PADAM COTTON YARNS LTD.,Padam Cotton Yarns Ltd.
531396,WOMENNET,WOMEN NETWORKS LTD.,Women Networks Ltd.
531397,POLYCON,POLYCON INTERNATIONAL LTD.,Polycon International Ltd.
531398,SOURCENTRL,SOURCE NATURAL FOODS & HERBAL SUPPL LTD.,Source Natural Foods & Herbal Suppl Ltd
531399,GGAUTO,G.G.AUTOMOTIVE GEARS LTD.,G.G.Automotive Gears Ltd.
531400,ALMONDZ,ALMONDZ GLOBAL SECURITIES LTD.,Almondz Global Securities Limited
531402,LWSKNIT,LWS KNITWEAR LTD.,LWS Knitwear Ltd
531406,ANSINDUS,ANS Industries Ltd,ANS Limited
531409,ALCHCORP,ALCHEMIST CORPORATION LTD.,Alchemist Corporation Ltd
531411,TUNITEX,TUNI TEXTILE MILLS LTD.,Tuni Textile Mills Ltd.
531412,RADIXIND,Radix Industries (India) Limited,Radix Industries (India) Limited
531413,KIRANPR,KIRAN PRINT-PACK LTD.,Kiran Print-Pack Ltd.
531416,NARPROP,NARENDRA PROPERTIES LTD.,Narendra Properties Ltd.
531417,MEGACOR,MEGA CORPORATION LTD.,Mega Corporation Ltd
531426,TNPL,TAMIL NADU NEWSPRINT & PAPERS LTD.,Tamil Nadu Newsprint And Papers Ltd
531431,SHAKTIPUMP,SHAKTI PUMPS (INDIA) LTD.-$,Shakti Pumps (India) Ltd.
531432,SYTIXSE,SYSTEMATIX SECURITIES LTD.,Systematix Securities Ltd.
531433,SUNGOLD,SUNGOLD CAPITAL LTD.,Sungold Capital Ltd.
531436,SAFFRON,Saffron Industries Limited,Saffron Industries Limited
