Stock Number,Stock Name
211969,Sheela Foam Limited
108486,Hawkins Cooker Limited
132702,Gujarat State Petronet Limited
217400,Star Health & Allied Insurance
100620,The Great Eastern Shipping Company Limited
120056,Tvs Holdings Limited
221083,Gateway Distriparks Limited
131335,Zydus Wellness Limited
132689,Pvr Limited
132548,Century Plyboards (India) Limited
117506,Ttk Prestige Limited
225231,Vodafone Group Plc - Sp Adr
300692,Viatris Inc.
223417,British American Tobacco Plc
311720,Sundaram Clayton Dcd Limited
305788,Yatharth Hospital & Trauma Care Services Pvt Limited
112573,Avanti Feeds Limited
100294,Ncc Limited
216147,Nuvoco Vistas Corporation Limited
100670,Gujarat Narmada Valley Fertilizers And Chemicals Limited
106355,Chemplast Sanmar Limited
232604,Medplus Health Services Limited
200067,D.B. Corp Limited
132700,Entertainment Network (India) Limited
100210,Ingersoll - Rand (India) Limited
100292,Heidleberg Cement India Limited
219464,Cognizant Tech Solutions
209344,Sumitomo Chemical India Limited
100135,Epl Limited
303107,Sapphire Foods India Limited
100312,Oil & Natural Gas Corporation Limited
216369,Nhpc Limited
219691,Cochin Shipyard Limited
208801,Nbcc (India) Limited
220512,Sjvn Limited
111218,Shriram Finance Limited
108869,Apollo Hospitals Enterprise Limited
208883,One 97 Communications Limited
211385,Sbi Life Insurance Company Limited
214179,Sona Blw Precision Forgings Limited
107685,Wipro Limited
103806,Srf Limited
220350,L&T Finance Limited
100271,Max Financial Services Limited
208461,Jsw Energy Limited
100135,Epl Limited
112070,Upl Limited
124804,Aurobindo Pharma Limited
124200,Vinati Organics Limited
209024,R R Kabel Limited
219442,Macrotech Developers Limited
225051,Sbi Cards And Payment Services Limited
106355,Chemplast Sanmar Limited
100331,Pidilite Industries Limited
294914,Go Digit General Insurance Limited
210174,General Insurance Corporation Of India
216147,Nuvoco Vistas Corporation Limited
132784,Sobha Limited
226720,Kalyan Jewellers India Limited
132155,Gail (India) Limited
132702,Gujarat State Petronet Limited
117354,Havells India Limited
100420,Torrent Pharmaceuticals Limited
100096,Dabur India Limited
132296,Glenmark Pharmaceuticals Limited
207959,Chalet Hotels Limited
221809,Inox Wind Limited
304102,Bharti Airtel Limited - Partly Paid Share
100840,Eih Limited
132300,Wockhardt Limited
220869,Techno Electric & Engineering Company Limited
293665,Arvind Fashions Limited
307332,Piramal Pharma Limited
200046,Knr Constructions Limited
273033,Equitas Small Finance Bank Limited
295966,Samhi Hotels Limited
130007,Jk Tyre & Industries Limited
209165,Sandhar Technologies Limited
266384,Pds Limited
100031,Bajaj Electricals Limited
207679,Advanced Enzyme Technologies Limited
294914,Go Digit General Insurance Limited
190071,Sundaram Finance Limited
100109,Mangalore Refinery And Petrochemicals Limited
132779,Torrent Power Limited
132461,Punjab National Bank
221033,Aster Dm Healthcare Limited
106395,Coromandel International Limited
207872,Bharti Hexacom Limited
251940,G R Infra Projects Limited
132149,Bank Of India
123716,Ashiana Housing Limited
296367,Ola Electric Mobility Limited
100068,Disa India Limited
100355,Rallis India Limited
100338,Prism Johnson Limited
106076,Grindwell Norton Limited
132889,K.P.R. Mill Limited
132541,Coforge Limited
105412,Wendt (India) Limited
241159,Neogen Chemicals Limited
113375,Carborundum Universal Limited
100674,Sanofi India Limited
221959,Sula Vineyards Limited
100210,Ingersoll Rand (India) Limited
315602,Sanofi Consumer Healthcare India Limited
100125,E.I.D-Parry (India) Limited
105010,Automotive Axles Limited
273894,Prataap Snacks Limited
308021,Nmdc Steel Limited
219464,Cognizant Technology Solutions Corporation
304945,Epam Systems Inc
213838,Prestige Estates Projects Limited
305013,Motherson Sumi Wiring India Limited
100472,Skf India Limited
100257,Lupin Limited
100104,Hindustan Petroleum Corporation Limited
100878,Ceat Limited
100410,Acc Limited
208280,Hdfc Asset Management Company Limited
100469,The Federal Bank Limited
100043,Bata India Limited
