Stock Number,Stock Name
208745,Mishra Dhatu Nigam Limited
123405,JM Financial Limited
209063,Cyient Dlm Ltd
126947,La Opala RG Limited
124051,Polyplex Corporation Limited
117168,Subros Limited
119600,CCL Products (India) Limited
100660,GlaxoSmithKline Pharmaceuticals Limited
132486,Pokarna Limited
132548,Century Plyboards (India) Limited
311991,Bajel Projects Limited
100378,Jindal Saw Limited
210258,ICICI Prudential Life Insurance Company Limited
303158,Tracxn Technologies Limited
105714,Gabriel India Limited
209099,Rolex Rings Limited
212609,Astec LifeSciences Limited
232356,Aeroflex Industries Limited
221669,Credo Brands Marketing Limited
301603,Paras Defence and Space Technologies Limited
132443,Cera Sanitaryware Limited
312314,Azad Engineering Ltd
310018,Netweb Technologies India Limited
210039,Concord Biotech Limited
208433,Inox India Limited
105533,Westlife Foodworld Limited
217015,Tarsons Products Limited
274038,India Shelter Finance Corporation Limited
209420,Tata Technologies Ltd
271867,Laurus Labs Limited
211740,Happy Forgings Limited
308764,Honasa Consumer Limited
132504,Navin Fluorine International Limited
307329,Blue Jet Healthcare Ltd
293380,Dalmia Bharat Limited
132301,Tata Coffee Limited
107880,VIP Industries Limited
207778,Ashoka Buildcon Limited
124000,Poonawalla Fincorp Limited
220869,Techno Electric & Engineering Company Limited
117569,KEI Industries Limited
100182,Hero MotoCorp Limited
305788,Yatharth Hospital And Trauma Care Services Limited
277614,Jupiter Life Line Hospitals Limited
113010,Tata Steel Long Products Limited
301578,Jubilant Ingrevia Limited
132174,ICICI BANK LTD.
100180,HDFC BANK LTD.
132215,AXIS BANK LTD.
100112,STATE BANK OF INDIA.
100325,RELIANCE INDUSTRIES LTD.
132286,Jindal Steel & Power Ltd
286335,AU SMALL FINANCE BANK LTD.
100411,Thermax Ltd.
132454,BHARTI AIRTEL LTD.
100260,The Ramco Cements Ltd
222055,Inter Globe Aviation Ltd
132725,Solar Industries India Limited
102355,Balkrishna Industries Ltd
132522,Petronet LNG Ltd.
100247,KOTAK MAHINDRA BANK LTD.
132714,Kec International Ltd.
132683,AIA Engineering Limited
252306,Zomato Ltd
132514,Indraprastha Gas Ltd.
100271,Max Financial Services Ltd
100043,Bata India Ltd.
215367,Jubilant Foodworks Limited
106395,Coromandel International Limited
111218,SHRIRAM FINANCE LIMITED
106285,Bayer Crop Science Ltd
304102,BHARTI AIRTEL LTD.
208414,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LTD.
307744,BEML Land Assets Ltd.
229365,JIO FINANCIAL SERVICES LTD
214179,Sona Blw Precision Forgings Ltd.
211840,Mankind Pharma Ltd.
117334,Samvardhana Motherson International Ltd.
269404,Tube Investments of India Ltd.
208238,Godrej Properties Ltd.
218071,Max Healthcare Institute Ltd.
229365,Jio Financial Services Ltd.
109930,Supreme Industries Limited
105790,Schaeffler India Ltd
220018,Oberoi Realty Limited
100472,SKF India Ltd
123642,P I Industries Ltd
100233,Kajaria Ceramics Ltd.
120111,Ratnamani Metals & Tubes Ltd.
210072,Dixon Technologies India Ltd
100238,Whirlpool of India Ltd.
100469,FEDERAL BANK LTD.
190059,APL Apollo Tubes Ltd
100067,BLUE STAR LTD.
211969,Sheela Foam Ltd
100403,Sundaram Fasteners Ltd.
200054,V-Guard Industries Ltd.
225154,Amber Enterprises India Ltd
208727,Metro Brands Ltd.
100008,Amara Raja Batteries Ltd.
200515,ZF Commercial Vehicle Control Systems India Ltd
271867,Laurus Labs Ltd
132732,Kewal Kiran Clothing Limited
117334,SAMVARDHANA MOTHERSON INTERNATIONAL LTD
108486,Hawkins Cooker Ltd
249927,Gujarat Gas Company Ltd.
122287,KALPATARU PROJECTS INTERNATIONAL LIMITED
117174,Honeywell Automation India Ltd.
132432,United Spirits Ltd
132702,Gujarat State Petronet Ltd.
100425,AMBUJA CEMENTS LTD.
217842,Godrej Agrovet Ltd.
200094,PNC Infratech
305013,Motherson Sumi Wiring India Limited
132539,Minda Industries Ltd.
213488,Lux Industries Limited
211840,MANKIND PHARMA LTD
254493,PB Fintech Ltd.
217376,Life Insurance Corporation Of India
132454,Bharti Airtel Limited
302988,FSN E-Commerce Ventures Limited
223595,Avenue Supermarts Limited
225051,SBI Cards and Payment Services Limited
208883,One 97 Communications Limited
105200,Eicher Motors Limited
280713,Crompton Greaves Consumer Electricals Limited
100096,Dabur India Limited
214179,Sona BLW Precision Forgings Limited
211385,SBI Life Insurance Company Limited
100233,Kajaria Ceramics Limited
100271,Max Financial Services Limited
117354,Havells India Limited
123642,PI Industries Limited
103806,SRF Limited
112070,UPL Limited
217379,ICICI Lombard General Insurance Company Limited
100135,EPL Limited
216147,Nuvoco Vistas Corporation Limited
106355,Chemplast Sanmar Limited
100825,Britannia Industries Limited
126299,MphasiS Limited
124200,Vinati Organics Limited
100477,Ashok Leyland Limited
100049,Bharat Electronics Limited
100420,Torrent Pharmaceuticals Limited
100469,The Federal Bank  Limited
132343,TVS Motor Company Limited
100114,Titan Company Limited
132234,National Aluminium Company Limited
304102,Bharti Airtel Ltd. - Partly Paid Share
100620,The Great Eastern Shipping Company Ltd.
221083,Gateway Distriparks Ltd
307332,Piramal Pharma Ltd
120056,TVS Holdings Ltd.
131335,Zydus Wellness Ltd.
117506,Ttk Prestige Ltd.
124816,Natco Pharma Ltd.
221033,Aster DM Healthcare Ltd.
295966,Samhi Medical Inc
311720,Sundaram Clayton DCD Ltd.
209492,UTI Asset Management Co Ltd
225231,Vodafone Group Plc - SP ADR
300692,Viatris Inc.
223417,British American Tobacco PLC
207679,Advanced Enzyme Technologies Ltd.
106655,Sudarshan Chemical Industries Ltd.
112599,Adani Enterprises Ltd
132555,National Thermal Power Corporation Ltd.
132921,Adani Ports and Special Economic Zone Limited
100400,Tata Power Company Ltd.
100547,Bharat Petroleum Corporation  Ltd.
132822,Vodafone Idea Ltd
132134,BANK OF BARODA
132187,INDUSIND BANK LTD.
100312,Oil And Natural Gas Corporation Ltd.
100295,Vedanta Ltd.
200055,Rural Electrification Corporation Ltd.
105537,Zee Entertainment Enterprises Ltd
132461,PUNJAB NATIONAL BANK
279527,BANDHAN BANK LIMITED
126371,NMDC Ltd.
100570,TATA MOTORS LTD.
208412,Indian Railway Catering And Tourism Corporation Lt
132483,CANARA BANK
132754,GMR Infrastructure Ltd.
100113,Steel Authority of India Ltd.
209068,RBL BANK LTD.
209967,Indus Towers Ltd.
100251,Trent Ltd
224623,Indian Energy Exchange Ltd.
217379,ICICI Lombard General Insurance Company Ltd
132296,Glenmark Pharmaceuticals Ltd
132659,IDFC Limited
211385,SBI Life Insurance Company Ltd
117354,Havells India Ltd.
210258,ICICI Prudential Life Insurance Co. Ltd.
100302,PIRAMAL ENTERPRISES LTD.
100114,TITAN COMPANY LTD.
100488,Abbott India Ltd.
242461,ADITYA BIRLA CAPITAL LTD
131642,MARICO LTD.
132523,Biocon Ltd.
100495,Escorts Ltd.
132689,PVR LTD.
