SCRIP_CD,scrip_id,Scrip_Name,Issuer_Name
500354,Rajsreesug,Rajshree Sugars & Chemicals Limited,Rajshree Sugars & Chemicals Limited,
500355,Rallis,Rallis India Limited,Rallis India Limited
500356,Ramanews,Shree Rama Newsprint Limited,Shree Rama Newsprint Limited
500357,Ramappr-B,Rama Paper Mills Limited,Rama Paper Mills Limited,
500358,Ramapetro,Rama Petrochemicals Limited,Rama Petrochemicals Limited
500360,Rapicut,Rapicut Carbides Limited,Rapicut Carbides Limited,
500365,Welsplsol,Welspun Specialty Solutions Limited,Welspun Specialty Solutions Limited
500366,Rolta,Rolta India Limited,Rolta India Limited,
500367,Rubfila,Rubfila International Limited,Rubfila International Limited
500368,Patanjali,Patanjali Foods Limited,Patanjali Foods Limited
500370,Saloraintl,Salora International Limited,Salora International Limited
500378,Jindalsaw,Jindal Saw Limited,Jindal Saw Limited
500380,Jklakshmi,Jk Lakshmi Cement Limited,Jk Lakshmi Cement Limited
500387,Shreecem,Shree Cement Limited,Shree Cements Limited,
500388,Skpmil,Shree Krishna Paper Mills & Industries Limited,Shree Krishna Paper Mills & Industr
500390,Relinfra,Reliance Infrastructure Limited,Reliance Infrastructure Limited
500400,Tatapower,Tata Power Co.Limited,Tata Power Co. Limited
500402,Spmlinfra,Spml Infra Limited,Spml Infra Limited
500403,Sundrmfast,Sundram Fasteners Limited,Sundram Fasteners Limited,
500404,Sunflag,Sunflag Iron & Steel Co.Limited,Sunflag Iron & Steel Co. Limited,
500405,Splpetro,Supreme Petrochem Limited,Supreme Petrochem Limited
500407,Swarajeng,Swaraj Engines Limited,Swaraj Engines Limited
500408,Tataelxsi,Tata Elxsi Limited,Tata Elxsi Limited
500410,Acc,Acc Limited,Acc Limited
500411,Thermax,Thermax Limited,Thermax Limited
500412,Tirumalchm,Thirumalai Chemicals Limited,Thirumalai Chemicals Limited,
500413,Thomascook,Thomas Cook (India) Limited,Thomas Cook (India) Limited,
500414,Timex,Timex Group India Limited-$,Timex Group India Limited
500418,Tokyoplast,Tokyo Plast International Limited,Tokyo Plast International Limited
500420,Torntpharm,Torrent Pharmaceuticals Limited,Torrent Pharmaceuticals Limited
500421,Tpindia,Tpi India Limited,Tpi India Limited,
500422,Transchem,Transchem Limited-$,Transchem Limited.
500425,Ambujacem,Ambuja Cements Limited,Ambuja Cements Limited
500426,Utlinds,Utl Industries Limited,Utl Industries Limited
500429,Unienter,Uniphos Enterprises Limited,Uniphos Enterprises Limited.
500439,Vhl,Vardhman Holdings Limited,Vardhman Holdings Limited
500440,Hindalco,Hindalco Industries Limited,Hindalco Industries Limited
500444,Wstcstpapr,West Coast Paper Mills Limited,West Coast Paper Mills Limited
500449,Hocl,Hindustan Organic Chemicals Limited,Hindustan Organic Chemicals Limited,
500450,Mpilcorpl,Mpil Corporation Limited,Mpil Corporation Limited
500456,Pasuptac,Pasupati Acrylon Limited,Pasupati Acrylon Limited
500458,Kore,Kore Foods Limited,Kore Foods Limited
500459,Pghh,Procter & Gamble Hygiene & Health Care Limited,Procter & Gamble Hygiene & Health Care Limited
500460,Mukandlimited,Mukand Limited,Mukand Limited,
500463,Bbox,Black Box Limited,Black Box Limited
500464,Ucal,Ucal  Limited,Ucal Limited
500467,Harrmalaya,Harrisons Malayalam Limited,Harrisons Malayalam Limited,
500469,Federalbnk,Federal Bank Limited,Federal Bank Limited
500470,Tatasteel,Tata Steel Limited,Tata Steel Limited
500472,Skfindia,Skf India Limited,Skf India Limited
500477,Ashokley,Ashok Leyland Limited,Ashok Leyland Limited,
500480,Cumminsind,Cummins India Limited,Cummins India Limited,
500483,Tatacomm,Tata Communications Limited,Tata Communications Limited
500488,Abbotindia,Abbott India Limited,Abbott India Limited
500490,Bajajhldng,Bajaj Holdings & Investment Limited,Bajaj Holdings & Investment Limited
500493,Bharatforg,Bharat Forge Limited,Bharat Forge Limited
500495,Escorts,Escorts Kubota Limited,Escorts Kubota Limited
500500,Hindmotors,Hindustan Motors Limited,Hindustan Motors Limited,
500510,Lt,Larsen & Toubro Limited,Larsen & Toubro Limited
500520,M&M,Mahindra & Mahindra Limited,Mahindra & Mahindra Limited
500530,Boschlimited,Bosch Limited,Bosch Limited
500540,Premier,Premier Limited,Premier Limited
500547,Bpcl,Bharat Petroleum Corporation Limited,Bharat Petroleum Corpn. Limited,
500550,Siemens,Siemens Limited,Siemens Limited,
500570,Tatamotors,Tata Motors Limited,Tata Motors Limited
500575,Voltas,Voltas Limited,Voltas Limited,
500620,Geship,Great Eastern Shipping Co.Limited,Great Eastern Shipping Co. Limited,
500645,Deepakfert,Deepak Fertilisers & Petrochemicals Corporation Limited,Deepak Fertilizers &Petrochemicals
500650,Excelindus,Excel Industries Limited,Excell Industries Limited,
500655,Grwrhitech,Garware Hi-Tech Films Limited,Garware Hi-Tech Films Limited
500660,Glaxo,Glaxosmithkline Pharmaceuticals Limited,Glaxosmithkline Pharmaceuticals Limited
500670,Gnfc,Gujarat Narmada Valley Fertilizers & Chemicals Limited,Gujarat Narmada Valley Fert.Co.Limited
500672,Novartind,Novartis India Limited,Novartis India Limited.
500674,Sanofi,Sanofi India Limited,Sanofi India Limited
500680,Pfizer,Pfizer Limited,Pfizer Limited,
500690,Gsfc,Gujarat State Fertilizers & Chemicals Limited,Gujarat State Fertilizers & Chem.Limited
500696,Hindunilvr,Hindustan Unilever Limited,Hindustan Unilever Limited,
500710,Akzoindia,Akzo Nobel India Limited,Akzo Nobel India Limited
500730,Nocil,Nocil Limited,Nocil Limited
500770,Tatachem,Tata Chemicals Limited,Tata Chemicals Limited
500777,Tnpetro,Tamilnadu Petroproducts Limited,Tamilnadu Petroproducts Limited
500780,Zuariind,Zuari Industries Limited,Zuari Industries Limited
500790,Nestleind,Nestle India Limited,Nestle India Limited
500800,Tataconsum,Tata Consumer Products Limited,Tata Consumer Products Limited
500820,Asianpaint,Asian Paints Limited,Asian Paints Limited
500825,Britannia,Britannia Industries Limited,Britannia Industries Limited,
500830,Colpal,Colgate-Palmolive (India) Limited,Colgate-Palmolive (India) Limited,
500840,Eihotel,Eih Limited,Eih Limited
500850,Indhotel,Indian Hotels Co.Limited,Indian Hotels Co. Limited
500870,Castrolind,Castrol India Limited,Castrol India Limited
500875,Itc,Itc Limited,Itc Limited
500877,Apollotyre,Apollo Tyres Limited,Apollo Tyres Limited
500878,Ceatlimited,Ceat Limited,Ceat Limited,
500890,Modirubber,Modi Rubber Limited,Modi Rubber Limited,
500940,Finpipe,Finolex Industries Limited,Finolex Industries Limited
501110,Sunrinv,Sunrise Industrial Traders Limited,Sunrise Industrial Traders Limited,
501111,Zgoldinv,Gold Rock Investments Limited,Gold Rock Investments Limited,
501144,Peoplin,Peoples Investments Limited,Peoples Investments Limited,
501148,Dsinvest,Dalal Street Investments Limited,Dalal Street Investments Limited,
501150,Centrum,Centrum Capital Limited,Centrum Capital Limited
501151,Kartkin,Kartik Investments Trust Limited,Kartik Investments Trust Limited,
501242,Tcifinance,Tci Finance Limited,Tci Finance Limited
501261,Kratosener,Kratos Energy & Infrastructure Limited,Kratos Energy & Infrastructure Limited
501270,Antariksh,Antariksh Industries Limited,Antariksh Industries Limited
501295,Iitl,Industrial Investment Trust Limited,Industrial Investment Trust Limited,
501298,Indprud,Industrial & Prudential Investments Co.Limited,Industrial & Prudential Inv. Co. Lt
501301,Tatainvest,Tata Investment Corporation Limited,Tata Investment Corporation Limited,
501311,Jaybhcr,Jayabharat Credit Limited-$,Jayabharat Credit Limited,
501314,Prismx,Prismx Global Ventures Limited,Prismx Global Ventures Limited
501343,Motogenfin,Motor & General Finance Limited,Motor & General Finance (M.G.F.) Lt
501351,Rapidin,Rapid Investments Limited,Rapid Investments Limited,
501370,Walchpf,Walchand Peoplefirst Limited,Walchand Peoplefirst Limited
501386,Zswastsa,Swastik Safe Deposit & Investments Limited,Swastik Safe Deposit & Invest. Limited
501391,Whbrady,W.H.Brady & Co.Limited,W.H. Brady & Co. Limited,
501421,Technvisn,Technvision Ventures Limited,Technvision Ventures Limited
501423,Shaily,Shaily Engineering Plastics Limited,Shaily Engineering Plastics Limited
501425,Bbtc,Bombay Burmah Trading Corp.Limited,Bombay Burmah Trading Corpn. Limited,
501430,Bombcyc,Bombay Cycle & Motor Agency Limited,Bombay Cycle & Motor Agency Limited,
501455,Greavescot,Greaves Cotton Limited,Greaves Cotton Limited
501477,Muller,Muller & Phipps (India) Limited,Muller & Phipps (India) Limited,
501622,Amalgam,Amalgamated Electricity Co.Limited,Amalgamated Electricity Co. Limited,
501630,Anandproj,Anand Projects Limited,Anand Projects Limited
501700,Indianvsh,Indianivesh Limited,India Nivesh Limited
501831,Coastcorp,Coastal Corporation Limited,Coastal Corporation Limited
501833,Chowgulstm,Chowgule Steamships Limited,Chowgule Steamships Limited,
501848,Globoffs,Global Offshore Services Limited-$,Global Offshore Services Limited
501945,Dhenubuild,Dhenu Buildcon Infra Limited,Dhenu Buildcon Infra Limited
502015,Asiil,Asi Industries Limited,Asi Industries Limited
502090,Sagcem,Sagar Cements Limited-$,Sagar Cements Limited
502133,Hemacem,Hemadri Cements Limited,Hemadri Cements Limited
502137,Deccance,Deccan Cements Limited-$,Deccan Cements Limited,
502157,Manglmcem,Mangalam Cement Limited,Mangalam Cement Limited,
